,year_month,us_state,make,phone_series,phone_launch_date,model_family,predecessor,successor,model_age_days,model_age_months,model,sku,sku_no_colour,colour,size,closing_subs_monthly,filed_claims,claims,claims_swap,claims_replacement,ir_rate_swap,ir_rate_replacement,ir_rate_monthly,churn_rate,churn
61,2020-09-01,Texas,Oppo,OPPO A10,2020-07-28,OPPO A12,First Model,OPPO A15,64,2,A12 32GB BLUE,A12BLU,A12,Blue,32,84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19047619047619,16
62,2020-10-01,Texas,Oppo,OPPO A10,2020-07-28,OPPO A12,First Model,OPPO A15,95,3,A12 32GB BLUE,A12BLU,A12,Blue,32,77,1.0,1.2771189553144917,1.561965692440661,-0.2848467371262059,0.0202852687329955,-0.0036993082743663,0.0165859604586297,0.12987012987013,10
63,2020-11-01,Texas,Oppo,OPPO A10,2020-07-28,OPPO A12,First Model,OPPO A15,125,4,A12 32GB BLUE,A12BLU,A12,Blue,32,69,2.0,2.1575861054625105,2.058732341090395,0.0988537643720856,0.0298367005955129,0.0014326632517693,0.0312693638472827,0.115942028985507,8
64,2020-12-01,Texas,Oppo,OPPO A10,2020-07-28,OPPO A12,First Model,OPPO A15,156,5,A12 32GB BLUE,A12BLU,A12,Blue,32,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0615384615384615,4
65,2021-01-01,Texas,Oppo,OPPO A10,2020-07-28,OPPO A12,First Model,OPPO A15,187,6,A12 32GB BLUE,A12BLU,A12,Blue,32,63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0317460317460317,2
66,2021-02-01,Texas,Oppo,OPPO A10,2020-07-28,OPPO A12,First Model,OPPO A15,215,7,A12 32GB BLUE,A12BLU,A12,Blue,32,57,1.0,1.2771189553144917,1.561965692440661,-0.2848467371262059,0.0274029068849238,-0.0049973111776527,0.0224055957072717,0.105263157894737,6
67,2021-03-01,Texas,Oppo,OPPO A10,2020-07-28,OPPO A12,First Model,OPPO A15,246,8,A12 32GB BLUE,A12BLU,A12,Blue,32,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0363636363636364,2
68,2021-04-01,Texas,Oppo,OPPO A10,2020-07-28,OPPO A12,First Model,OPPO A15,276,9,A12 32GB BLUE,A12BLU,A12,Blue,32,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0185185185185185,1
69,2021-05-01,Texas,Oppo,OPPO A10,2020-07-28,OPPO A12,First Model,OPPO A15,307,10,A12 32GB BLUE,A12BLU,A12,Blue,32,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,4
70,2021-06-01,Texas,Oppo,OPPO A10,2020-07-28,OPPO A12,First Model,OPPO A15,337,11,A12 32GB BLUE,A12BLU,A12,Blue,32,47,1.0,1.0,1.0,0.0,0.0,0.0,0.0212765957446809,0.0638297872340425,3
71,2021-07-01,Texas,Oppo,OPPO A10,2020-07-28,OPPO A12,First Model,OPPO A15,368,12,A12 32GB BLUE,A12BLU,A12,Blue,32,45,1.0,1.0,1.0,0.0,0.0,0.0,0.0222222222222222,0.0444444444444444,2
72,2021-08-01,Texas,Oppo,OPPO A10,2020-07-28,OPPO A12,First Model,OPPO A15,399,13,A12 32GB BLUE,A12BLU,A12,Blue,32,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.153846153846154,6
73,2021-09-01,Texas,Oppo,OPPO A10,2020-07-28,OPPO A12,First Model,OPPO A15,429,14,A12 32GB BLUE,A12BLU,A12,Blue,32,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0857142857142857,3
74,2021-10-01,Texas,Oppo,OPPO A10,2020-07-28,OPPO A12,First Model,OPPO A15,460,15,A12 32GB BLUE,A12BLU,A12,Blue,32,32,1.0,1.0,1.0,0.0,0.0,0.0,0.03125,0.09375,3
75,2021-11-01,Texas,Oppo,OPPO A10,2020-07-28,OPPO A12,First Model,OPPO A15,490,16,A12 32GB BLUE,A12BLU,A12,Blue,32,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.103448275862069,3
76,2021-12-01,Texas,Oppo,OPPO A10,2020-07-28,OPPO A12,First Model,OPPO A15,521,17,A12 32GB BLUE,A12BLU,A12,Blue,32,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
77,2022-01-01,Texas,Oppo,OPPO A10,2020-07-28,OPPO A12,First Model,OPPO A15,552,18,A12 32GB BLUE,A12BLU,A12,Blue,32,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0357142857142857,1
78,2022-03-01,Texas,Oppo,OPPO A10,2020-07-28,OPPO A12,First Model,OPPO A15,611,20,A12 32GB BLUE,A12BLU,A12,Blue,32,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0769230769230769,2
79,2022-07-01,Texas,Oppo,OPPO A10,2020-07-28,OPPO A12,First Model,OPPO A15,733,24,A12 32GB BLUE,A12BLU,A12,Blue,32,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,1
80,2022-08-01,Texas,Oppo,OPPO A10,2020-07-28,OPPO A12,First Model,OPPO A15,764,25,A12 32GB BLUE,A12BLU,A12,Blue,32,24,1.0,1.2771189553144917,1.561965692440661,-0.2848467371262059,0.0650819038516942,-0.0118686140469252,0.0532132898047704,0.0416666666666667,1
81,2022-11-01,Texas,Oppo,OPPO A10,2020-07-28,OPPO A12,First Model,OPPO A15,855,28,A12 32GB BLUE,A12BLU,A12,Blue,32,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0434782608695652,1
82,2023-01-01,Texas,Oppo,OPPO A10,2020-07-28,OPPO A12,First Model,OPPO A15,917,30,A12 32GB BLUE,A12BLU,A12,Blue,32,22,1.0,1.2771189553144917,1.561965692440661,-0.2848467371262059,0.0709984405654846,-0.012947578960282,0.0580508616052041,0.0454545454545455,1
83,2023-03-01,Texas,Oppo,OPPO A10,2020-07-28,OPPO A12,First Model,OPPO A15,976,32,A12 32GB BLUE,A12BLU,A12,Blue,32,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0476190476190476,1
84,2023-08-01,Texas,Oppo,OPPO A10,2020-07-28,OPPO A12,First Model,OPPO A15,1129,37,A12 32GB BLUE,A12BLU,A12,Blue,32,20,1.0,1.2771189553144917,1.561965692440661,-0.2848467371262059,0.078098284622033,-0.0142423368563102,0.0638559477657245,0.05,1
85,2023-09-01,Texas,Oppo,OPPO A10,2020-07-28,OPPO A12,First Model,OPPO A15,1159,38,A12 32GB BLUE,A12BLU,A12,Blue,32,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0526315789473684,1
86,2023-11-01,Texas,Oppo,OPPO A10,2020-07-28,OPPO A12,First Model,OPPO A15,1220,40,A12 32GB BLUE,A12BLU,A12,Blue,32,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0555555555555556,1
87,2019-01-01,California,Oppo,OPPO A10,2017-11-01,OPPO A15,OPPO A12,OPPO A16,456,14,A15 32GB BLACK,A1532BLK,A1532,Black,32,112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
88,2019-02-01,California,Oppo,OPPO A10,2017-11-01,OPPO A15,OPPO A12,OPPO A16,484,15,A15 32GB BLACK,A1532BLK,A1532,Black,32,127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
89,2019-03-01,California,Oppo,OPPO A10,2017-11-01,OPPO A15,OPPO A12,OPPO A16,515,16,A15 32GB BLACK,A1532BLK,A1532,Black,32,143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
90,2019-04-01,California,Oppo,OPPO A10,2017-11-01,OPPO A15,OPPO A12,OPPO A16,545,17,A15 32GB BLACK,A1532BLK,A1532,Black,32,166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
91,2019-05-01,California,Oppo,OPPO A10,2017-11-01,OPPO A15,OPPO A12,OPPO A16,576,18,A15 32GB BLACK,A1532BLK,A1532,Black,32,185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
92,2019-06-01,California,Oppo,OPPO A10,2017-11-01,OPPO A15,OPPO A12,OPPO A16,606,19,A15 32GB BLACK,A1532BLK,A1532,Black,32,196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
93,2019-07-01,California,Oppo,OPPO A10,2017-11-01,OPPO A15,OPPO A12,OPPO A16,637,20,A15 32GB BLACK,A1532BLK,A1532,Black,32,230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
94,2019-08-01,California,Oppo,OPPO A10,2017-11-01,OPPO A15,OPPO A12,OPPO A16,668,21,A15 32GB BLACK,A1532BLK,A1532,Black,32,251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
95,2019-09-01,California,Oppo,OPPO A10,2017-11-01,OPPO A15,OPPO A12,OPPO A16,698,22,A15 32GB BLACK,A1532BLK,A1532,Black,32,273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
96,2019-10-01,California,Oppo,OPPO A10,2017-11-01,OPPO A15,OPPO A12,OPPO A16,729,23,A15 32GB BLACK,A1532BLK,A1532,Black,32,288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
97,2019-11-01,California,Oppo,OPPO A10,2017-11-01,OPPO A15,OPPO A12,OPPO A16,759,24,A15 32GB BLACK,A1532BLK,A1532,Black,32,306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
98,2019-12-01,California,Oppo,OPPO A10,2017-11-01,OPPO A15,OPPO A12,OPPO A16,790,25,A15 32GB BLACK,A1532BLK,A1532,Black,32,323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
99,2020-01-01,California,Oppo,OPPO A10,2017-11-01,OPPO A15,OPPO A12,OPPO A16,821,26,A15 32GB BLACK,A1532BLK,A1532,Black,32,340,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
100,2020-02-01,California,Oppo,OPPO A10,2017-11-01,OPPO A15,OPPO A12,OPPO A16,850,27,A15 32GB BLACK,A1532BLK,A1532,Black,32,356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
101,2020-03-01,California,Oppo,OPPO A10,2017-11-01,OPPO A15,OPPO A12,OPPO A16,881,28,A15 32GB BLACK,A1532BLK,A1532,Black,32,376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
102,2020-04-01,California,Oppo,OPPO A10,2017-11-01,OPPO A15,OPPO A12,OPPO A16,911,29,A15 32GB BLACK,A1532BLK,A1532,Black,32,389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
103,2020-05-01,California,Oppo,OPPO A10,2017-11-01,OPPO A15,OPPO A12,OPPO A16,942,30,A15 32GB BLACK,A1532BLK,A1532,Black,32,405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
104,2020-06-01,California,Oppo,OPPO A10,2017-11-01,OPPO A15,OPPO A12,OPPO A16,972,31,A15 32GB BLACK,A1532BLK,A1532,Black,32,422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
